,TMDB_ID,Name,Birthday,Deathday,Gender,Place of Birth,Popularity
100036,100036,D.W. Griffith,1875-01-22,1948-07-23,2,"LaGrange, Kentucky, USA",0.704734
8813,8813,Thomas F. Dixon Jr.,1864-01-11,1946-04-03,0,"Shelby, North Carolina, USA",0.001905
90074,90074,Monte Blue,1887-01-11,1963-02-18,2,"Indianapolis, Indiana, USA",0.42408
90375,90375,Christy Cabanne,1888-04-16,1950-10-15,1,"St. Louis, Missouri, U.S.",9e-06
8838,8838,Elmer Clifton,1890-03-14,1949-10-15,2,"Chicago, Illinois, USA",0.000253
82413,82413,Jack Conway,1887-07-17,1952-10-11,2,"Graceville, Minnesota, USA",0.02185
8841,8841,Donald Crisp,1882-07-27,1974-05-25,0,"Bow, London, England, UK",1.886487
93905,93905,Allan Dwan,1885-04-03,1981-12-28,2,,0.000925
8842,8842,Howard Gaye,,,2,,4e-06
1899486,1899486,Fred Hamer,,,0,,0.0
29950,29950,Robert Harron,1893-04-12,1920-09-05,2,"New York City, New York, U.S.",0.349047
1899487,1899487,Thomas E. O'Brien,,,0,,0.004082
1349415,1349415,Herbert Sutch,,,0,,0.0
32427,32427,W.S. Van Dyke,1889-03-21,1943-02-05,2,"San Diego, California, USA",0.207726
8630,8630,Erich von Stroheim,1885-09-22,1957-05-12,2,"Vienna, Austria-Hungary",0.943475
1899488,1899488,Baron von Winther,,,0,,0.0
8823,8823,Raoul Walsh,1887-03-11,1980-12-31,2,"New York City, New York, USA",1.094867
96061,96061,Tom Wilson,1880-08-27,1965-02-19,2,"Helena, Montana Territory, USA",0.007468
30779,30779,Dorothy Gish,1898-03-11,1968-06-04,1,"Massillon, Ohio, USA",0.046528
8728,8728,Eugene Pallette,1889-07-08,1954-09-03,2,"Winfield, Kansas, USA",2.804581
580811,580811,Elmo Lincoln,1889-02-06,1952-06-27,2,Rochester - Indiana - USA,1e-06
940663,940663,Chester M. Franklin,1890-09-01,1954-03-12,2,,0.000395
42060,42060,Sidney Franklin,1893-03-21,1972-05-18,2,"San Francisco, California, USA",0.010895
88988,88988,Bernard McConville,1887-10-16,1961-12-27,0,Denver - Colorado - USA,0.003074
13848,13848,Charlie Chaplin,1889-04-16,1977-12-25,2,"Walworth, London, England, UK",2.532385
21301,21301,Edna Purviance,1895-10-21,1958-01-11,1,"Paradise Valley, Nevada, USA",0.010759
21303,21303,Eric Campbell,1879-04-26,1917-12-20,2,,0.000972
21314,21314,Charlotte Mineau,1886-03-24,1979-10-12,1,"Escanaba, Michigan, USA",0.021168
147991,147991,Phyllis Allen,1861-11-25,1938-03-26,1,"Staten Island, New York, USA",3.9e-05
21306,21306,Albert Austin,1882-12-13,1953-08-17,2,"Birmingham, England",0.000204
21305,21305,Lloyd Bacon,1889-12-04,1955-11-15,2,"San Jose, California, USA",1e-06
14438,14438,Henry Bergman,1868-02-23,1946-10-22,2,"San Francisco, California, USA",0.093451
21312,21312,Frank J. Coleman,,,0,,0.0
21302,21302,James T. Kelley,,,2,,2.9e-05
21308,21308,Vincent Bryan,,,0,,0.0
37861,37861,Milton Rosmer,,,0,,1e-06
1310546,1310546,Netta Westcott,,,0,,0.036
97568,97568,Arthur Wontner,1875-01-21,1960-07-10,0,"London, England, UK",0.001749
1310547,1310547,Irene Rooke,,,0,,0.002127
1169043,1169043,Nigel Playfair,,,0,,0.0
1687158,1687158,Alice De Winton,,,0,,1e-06
1687159,1687159,E. Vivian Reynolds,,,0,,0.00648
1687160,1687160,Joyce Kerr,,,0,,0.0
117695,117695,Evan Thomas,1891-02-17,1982,2,"Vancouver, British Columbia, Canada",0.026676
1687162,1687162,Sydney Vautier,,,0,,0.0
1310545,1310545,Fred Paul,1880,1967,2,"Lausanne, Switzerland",7.4e-05
56712,56712,Oscar Wilde,1854-10-16,1900-11-30,2,"Dublin, Ireland",0.017158
29951,29951,F.A. Turner,1858-10-12,1923-02-13,2,New York,0.000501
29952,29952,Sam De Grasse,1875-06-12,1953-11-29,2,Bathurst - New Brunswick - Canada,0.012481
29953,29953,Vera Lewis,1873-06-10,1956-02-08,2,"New York City, New York, USA",0.005596
29954,29954,Lillian Langdon,,,0,,8e-06
29955,29955,Olga Grey,,,1,,0.0
29956,29956,Erich von Ritzau,,,0,,0.168
29258,29258,Bessie Love,1898-09-10,1986-04-26,1,"Midland, Texas, USA",0.003216
11436,11436,Anita Loos,1888-04-26,1981-08-18,1,,0.0
1496,1496,Tod Browning,1880-07-12,1962-10-06,2,"Louisville, Kentucky, USA",0.59487
1513675,1513675,Arthur Berthelet,,,0,,4.3e-05
1044969,1044969,Edward Dillon,1879-01-01,1933-07-11,2,"New York City, New York, USA ",0.008455
9049,9049,Victor Fleming,1889-02-23,1949-01-06,0,"La Cañada, California, USA",0.007491
29963,29963,George W. Hill,1895-04-25,1934-08-10,0,"Douglass, Kansas, U.S.",1e-06
121247,121247,Lloyd Ingraham,1874-11-30,1956-04-04,2,"Rochelle, Illinois, USA",0.035096
585135,585135,George Nichols Jr.,,,0,,0.12
1747112,1747112,Mike Siebert,,,0,,0.000554
8837,8837,George Siegmann,1882-02-08,1928-06-22,2,,0.000105
28968,28968,J. Searle Dawley,1877-05-13,1949-03-30,2,"Del Norte, Colorado, USA",1e-06
100047,100047,Mary Pickford,1892-04-08,1979-05-29,1,"Toronto, Ontario,  Canada",0.00546
148820,148820,Elliott Dexter,1870-03-29,1941-06-23,0,,0.028881
13359,13359,Tully Marshall,1864-04-10,1943-03-10,2,"Nevada City, California, USA",0.029058
90333,90333,Raymond Hatton,1887-07-07,1971-10-21,2,"Red Oak, Iowa, USA",0.000809
28971,28971,Charles Ogle,,,0,,7e-06
100245,100245,Walter Long,1879-03-05,1952-07-04,2,"Nashua, New Hampshire, USA",0.000603
108105,108105,Winter Hall,1872-06-21,1947-02-10,2,"Christchurch, New Zealand",0.0
8636,8636,Cecil B. DeMille,1881-08-12,1959-01-21,2,"Ashfield, Massachusetts, USA",1.2347
148786,148786,Jeanie Macpherson,1887-05-18,1946-08-26,1,"Boston, Massachusetts, USA",0.000972
29578,29578,John Barrymore,1882-02-15,1942-05-29,0,"Philadelphia, Pennsylvania, USA",0.002136
86827,86827,Evelyn Brent,1899-10-20,1975-06-04,1,"Tampa, Florida, USA",0.000344
9067,9067,Frank Morgan,1890-06-01,1949-09-18,2,"New York City, New York, USA",2.309516
1705217,1705217,Christine Mayo,,,0,,0.0
1377261,1377261,Kathryn Adams,1893-05-25,1959-02-17,1,"St. Louis, Missouri, USA",0.05328
13823,13823,George Irving,1874-10-05,1961-09-11,2,"New York City, New York, USA",0.000236
1363821,1363821,Madlaine Traverse,,,0,,0.0
29269,29269,Charles Wellesley,,,0,,1e-06
1363823,1363823,Gladys Fairbanks,,,0,,0.036
134868,134868,Frank McGlynn Sr.,1866-10-26,1951-05-18,2,"San Francisco, California, USA",0.0
1363824,1363824,Emile La Croix,,,0,,0.1668
1109729,1109729,Marcia Harris,1868-02-14,1947-06-18,1,Providence - Rhode Island - USA,0.00324
1363825,1363825,Frank Andrews,,,0,,0.0
1285056,1285056,Herbert Prior,1867-07-02,1954-10-03,2,"Oxford, Oxfordshire, England, UK",0.001769
98043,98043,Maurice Tourneur,1876-02-02,1961-08-04,2,"Paris, France",0.909047
34741,34741,Frances Marion,1888-11-18,1973-05-12,1,"San Francisco, California, USA",0.000643
78193,78193,William Farnum,1876-07-04,1953-06-05,2,"Boston, Massachusetts, USA",0.000151
97992,97992,Jewel Carmen,,,0,,0.000572
98020,98020,Charles Clary,1873-03-24,1931-03-24,2,"Charleston, Illinois, USA",0.0
592836,592836,Herschel Mayall,1863-07-12,1941-06-10,0,Bowling Green - Kentucky - USA,0.0
29980,29980,Rosita Marstini,,,0,,0.001264
133099,133099,Josef Swickard,1866-06-26,1940-02-29,2,"Koblenz, Germany",4.1e-05
1289481,1289481,William Clifford,1877-06-27,1941-12-23,0,Cincinnati - Ohio - USA,7e-06
1391911,1391911,Marc Robbins,1868-01-03,1931-04-05,0,,1e-06
1072703,1072703,Olive White,,,0,,0.24
72061,72061,Frank Lloyd,1886-02-02,1960-08-10,2,"Glasgow, Scotland, UK",0.11377
3557,3557,Charles Dickens,1812-02-07,1870-06-09,2,,1.855033
150576,150576,Eugene O'Brien,1880-11-14,1966-04-29,2,"Boulder, Colorado, USA",1e-06
34213,34213,Helen Jerome Eddy,1897-02-25,1990-01-27,1,"New York City, New York, USA",0.0
932460,932460,Marjorie Daw,,,0,,5.7e-05
148802,148802,Mayme Kelso,1867-02-28,1946-06-05,0,,0.00324
1042599,1042599,Jack McDonald,,,2,,0.0
1374184,1374184,Violet Wilkey,,,0,,0.0
69951,69951,Milton Berle,1908-07-12,2002-03-27,2,"New York City, New York, USA",2.030641
559559,559559,Marshall Neilan,1891-04-11,1958-10-27,2,"San Bernardino, California, USA",0.000116
1200351,1200351,Charlotte Thompson,,,0,,0.4
555886,555886,Kate Douglas Wiggin,,,0,,0.03024
1374183,1374183,Dudley Blanchard,,,0,,8e-06
86185,86185,Enid Markey,1894-02-22,1981-11-15,1,Dillon - Colorado - USA,0.0
1046101,1046101,Scott Sidney,,,0,,0.0
15776,15776,Edgar Rice Burroughs,1875-09-01,1950-03-19,2,"Chicago, Illinois, U.S.",1.590156
933357,933357,Fred Miller,,,0,,0.036
559557,559557,Ida Waterman,,,0,,0.0
559558,559558,Herbert Standing,1846-11-13,1923-12-05,0,,1e-06
131232,131232,Conway Tearle,1878-05-17,1939-10-01,2,,6e-06
1170316,1170316,Marcia Manon,,,0,,0.0
1663164,1663164,Lou Conley,,,0,,0.0216
1663165,1663165,Teddy the Dog,,,0,,0.0
13345,13345,Gustav von Seyffertitz,1862-08-04,1943-12-25,2,"Haimhausen, Dachau, Bavaria (now Bavaria, Germany)",2.7e-05
1156004,1156004,William J. Locke,1863-03-20,1930-05-15,2,"Barbados, British West Indies",2.5e-05
1663163,1663163,Nat G. Deverich,,,0,,0.0
222834,222834,Ossi Oswalda,1897-02-02,1947-03-07,1,"Berlin, Germany",7e-06
89811,89811,Curt Goetz,1888-11-17,1960-09-12,2,,3.3e-05
222847,222847,Ferry Sikla,,,0,,0.024396
29557,29557,Margarete Kupfer,1881-04-10,1953-05-11,1,,0.001007
14123,14123,Victor Janson,1884-09-25,1960-06-29,2,"Riga, Russian Empire",0.021168
2428,2428,Ernst Lubitsch,1892-01-28,1947-11-30,2,"Berlin, Germany",2.614773
42063,42063,Hanns Kräly,1884-01-16,1950-11-11,2,,0.428064
88953,88953,Harold Lloyd,1893-04-20,1971-03-08,2,"Burchard, Nebraska, USA",0.536902
30000,30000,Bebe Daniels,1901-01-14,1971-03-16,1,"Dallas, Texas, USA",1.556387
85778,85778,'Snub' Pollard,1889-11-09,1962-01-19,2," Melbourne, Victoria, Australia",0.014242
148656,148656,Gilbert Pratt,,,0,,1.3e-05
109088,109088,Douglas Fairbanks,1883-05-23,1939-12-12,0,"Denver, Colorado, United States",0.000515
1321419,1321419,Albert MacQuarrie,,,0,,4.2e-05
1581761,1581761,Kathleen Clifford,,,0,,3.5e-05
63383,63383,Frank Campeau,1864-12-14,1943-11-05,0,"Detroit, Michigan USA",2e-05
149003,149003,Herbert Grimwood,,,0,,5.5e-05
1522077,1522077,Daisy Jefferson,,,0,,1.1e-05
29265,29265,Bull Montana,1887-05-16,1950-01-24,0,Voghera - Lombardy - Italy,0.000122
1143823,1143823,Thomas J. Geraghty,1883-04-10,1945-06-05,2,Rushville - Indiana - USA,1.1e-05
13851,13851,Theodore Reed,,,2,,0.000116
13789,13789,Richard Barthelmess,1895-05-09,1963-08-17,2,"New York City, New York, USA",7e-05
13790,13790,Arthur Howard,,,2,,0.0
13791,13791,Edward Peil Sr.,1883-01-18,1958-12-29,2,"Racine, Wisconsin, USA",0.8
8839,8839,George Beranger,1893-03-27,1973-03-08,2,Sydney - New South Wales - Australia,0.009222
13792,13792,Norman Selby,,,0,,7.8e-05
13788,13788,Thomas Burke,1886,1945-09-22,2,"Eltham, London, England, UK",0.0
3000,3000,Werner Krauss,1884-06-23,1959-10-20,2,"Gestungshausen, Sonnefeld, Bavaria, Germany",0.00381
3001,3001,Conrad Veidt,1893-01-22,1943-04-03,2,"Potsdam, Brandenburg, Germany",0.996913
590591,590591,Friedrich Fehér,1889-03-16,1950-09-30,0,,1e-06
3005,3005,Lil Dagover,1887-09-30,1980-01-23,0,,0.000337
3007,3007,Hans Heinrich von Twardowski,1898-05-05,1958-11-19,2,"Stettin, Pomerania, Germany [now Szczecin, Zachodniopomorskie, Poland]",0.004302
1016382,1016382,Rudolf Lettinger,1865-10-26,1937-03-21,2,"Hamburg, Germany",0.457699
1090550,1090550,Henri Peters-Arnolds,1897-06-12,1988-07-27,2,,0.0
77,77,Rudolf Klein-Rogge,1885-11-24,1955-05-29,2,"Cologne, Germany",1.536372
29568,29568,Hans Lanser-Rudolf,,,0,,3.7e-05
1090552,1090552,Ludwig Rex,,,0,,4e-06
2991,2991,Robert Wiene,1873-04-27,1938-07-17,2,"Breslau, Silesia, Germany [now Wroclaw, Dolnoslaskie, Poland]",0.004536
2992,2992,Hans Janowitz,,,0,,7.2e-05
9083,9083,Rochus Gliese,,,0,,1e-06
2792,2792,Carl Mayer,,,2,,1.5e-05
180844,180844,Katherine Griffith,1876-09-30,1921-10-17,1,"San Francisco, California, USA",0.0
1516615,1516615,Howard Ralston,1904-07-25,1992-06-01,2,"Maine, USA",0.0
1282389,1282389,George Berrell,1849-12-16,1933-04-20,2,Philadelphia - Pennsylvania - USA,0.138298
1779120,1779120,William Courtleigh,1867-06-28,1930-12-27,2,"Guelph, Ontario, Canada",1.1e-05
1045381,1045381,Wharton James,1873-06-13,1943-11-18,2,Kentucky - USA,0.00635
1197564,1197564,Doc Crane,,,0,,0.0
120542,120542,Joan Marsh,1913-07-10,2000-08-10,1,,0.0
152222,152222,Paul Powell,1881-09-06,1944-07-02,2,"Peoria, Illinois, USA",0.0
110142,110142,Eleanor H. Porter,,,0,,1e-06
81930,81930,Alfred L. Werker,1896-12-02,1975-07-28,2,"Deadwood, South Dakota, USA",0.000774
249488,249488,Evelyn Preer,,,0,,0.098784
582373,582373,Flo Clements,,,0,,6e-06
582374,582374,James D. Ruffin,,,0,,0.000531
1562890,1562890,Jack Chenault,,,0,,0.8
1326732,1326732,Charles D. Lucas,,,0,,0.0
1562891,1562891,Bernice Ladd,,,0,,0.12
1562892,1562892,Mrs. Evelyn,,,0,,0.072
1562893,1562893,William Stark,,,0,,1e-06
1342940,1342940,Mattie Edwards,,,0,,0.0
1562894,1562894,E.G. Tatum,,,0,,0.004536
253152,253152,Oscar Micheaux,1884-01-02,1951-03-25,2,"Metropolis, IL",0.895184
582372,582372,Gene DeAnna,,,0,,0.000437
19426,19426,Jackie Coogan,1914-10-26,1984-03-01,0,"Los Angeles, California, U.S.",0.008232
63380,63380,Beulah Bains,1905,1930-08-16,0,,0.000116
63378,63378,Carl Miller,1893-08-09,1979-01-22,2,,0.036
10531,10531,Kitty Bradbury,1875-05-17,1945-12-12,1,,0.192
63381,63381,Nellie Bly Baker,1893-09-07,1984-10-12,0,,4e-06
63382,63382,F. Blinn,1872-04-03,1941-04-28,2,"Allentown, Pennsylvania, USA",0.0
89669,89669,A. Edward Sutherland,1895-01-05,1973-12-31,2,"London, England, UK",0.003052
94180,94180,Charles Reisner,1887-03-14,1962-09-24,0,"Minneapolis, Minnesota, USA",2e-06
1049511,1049511,Philip Hubbard,1873-10-27,1931-01-18,2,"London, England, UK",0.0
29264,29264,Margaret McWade,1872-09-03,1956-04-01,1,"Illinois, USA",0.00889
121222,121222,Claire Windsor,1892-04-14,1972-10-23,1,"Kansas, USA",4.9e-05
4343,4343,Louis Calhern,1895-02-19,1956-05-12,2,"Brooklyn, New York, USA",1.313196
1049539,1049539,Marie Walcamp,1894-07-27,1936-11-17,1,"Dennison, Ohio, USA",0.000379
1176510,1176510,William H. O'Brien,1891-07-19,1981-04-18,2,"Peak Hill, New South Wales, Australia",0.000639
946773,946773,Gertrude Short,1902-04-06,1968-07-31,1,"Cincinnati, Ohio, USA",0.4
135827,135827,Larry Steers,1888-02-14,1951-02-15,2,"Indiana, USA",1.9e-05
222572,222572,Marion Orth,,,0,,0.000312
8741,8741,Victor Sjöström,1879-09-20,1960-01-03,2,"Silbodal, Värmlands län, Sweden",0.567655
145692,145692,Hilda Borgström,1871-10-13,1953-01-02,1,"Stockholm, Stockholms län, Sweden",4e-06
227405,227405,Tore Svennberg,1858-02-28,1941-05-08,2," Stockholm, Stockholms län, Sweden",0.000922
222682,222682,Astrid Holm,1893-03-29,1961-10-29,0,,5.1e-05
227406,227406,Concordia Selander,1861-06-02,1935-03-31,0,"Arboga, Västmanlands län, Sweden",3e-06
1170438,1170438,Lisa Lundholm,1895,,1,,0.000572
1170439,1170439,Tor Weijden,,,0,,0.0
675616,675616,Einar Axelsson,1895-02-25,1971-10-30,0,"Lund, Skåne län, Sweden",0.011558
1321989,1321989,Olof Ås,,,0,,0.36
1188862,1188862,Nils Aréhn,,,0,,0.12
146932,146932,Selma Lagerlöf,,,0,,0.000186
1641780,1641780,Arthur Engborg,,,0,,0.0
24820,24820,Joseph Schildkraut,1896-03-22,1964-01-21,2,"Vienna, Austria-Hungary",0.003529
1362733,1362733,Frank Losee,1856-06-12,1937-11-14,2,"Brooklyn [now in New York City], New York, USA",0.06552
1362734,1362734,Katherine Emmet,,,0,,1.1e-05
99375,99375,Morgan Wallace,1881-07-26,1953-12-12,2,"Lompoc, California, USA",0.000101
288940,288940,Lucille La Verne,1872-11-07,1945-03-04,1,"Nashville, Tennessee, U.S.",0.088341
29589,29589,Sheldon Lewis,1968-04-20,1958-05-07,0,"Philadelphia, Pennsylvania, USA",0.017426
89691,89691,Frank Puglia,1892-03-09,1975-10-25,2,"Sicily, Italy",0.000157
97981,97981,Creighton Hale,1882-05-24,1965-08-09,2,"County Cork, Ireland",1.1e-05
1550888,1550888,Eugène Cormon,,,0,,0.001361
8635,8635,Buster Keaton,1895-10-04,1966-02-01,2,"Piqua, Kansas, USA",3.023688
121146,121146,Virginia Fox,1902-04-19,1982-10-14,1,Wheeling - West Virginia - United States,4e-06
10525,10525,Joe Roberts,1871-02-02,1923-10-28,2,"Albany, New York, USA",0.0003
13953,13953,Edward F. Cline,1891-11-04,1961-05-22,2,"Kenosha, Wisconsin, USA",0.024396
1057145,1057145,Rudolph Christians,1869-01-15,1921-02-02,2,"Oldenburg, Germany",3e-06
1057146,1057146,Miss DuPont,1894-04-28,1973-02-06,0,,0.156
1057147,1057147,Maude George,1888-08-15,1963-10-10,0,,0.12
34757,34757,Mae Busch,1891-06-18,1946-04-19,1,"Melbourne, Victoria, Australia",0.002855
35504,35504,Dale Fuller,1885-06-17,1948-10-14,1,"Santa Ana, California, USA ",0.000409
940168,940168,Cesare Gravina,1858-01-23,1954-09-16,2,"Naples, Italy",0.0
132324,132324,Malvina Polo,,,0,,7.4e-05
1379892,1379892,Albert Edmondson,,,0,,0.36
